location_name,GDP,Prevalence
Monaco,193746.7856,840.31042624598
Monaco,193746.7856,714.05767770421
Bermuda,115798.0408,593.28230246035
Bermuda,115798.0408,1728.60887178774
Luxembourg,112696.6491,817.4033890310401
Luxembourg,112696.6491,885.88585254688
Switzerland,84121.93103,837.8616628582299
Switzerland,84121.93103,846.9734339136
Ireland,81827.66889,922.2234165111
Ireland,81827.66889,1557.43379911792
Norway,76430.58895,698.78710009261
Norway,76430.58895,598.71673094352
Iceland,69296.31444,1017.63688825575
Iceland,69296.31444,969.60632530906
Qatar,66841.36232,931.28456982723
Qatar,66841.36232,1297.32906356619
Singapore,65952.0379,1336.92938150492
Singapore,65952.0379,1093.30597807657
United States of America,64746.45068,943.81307388636
United States of America,64746.45068,1317.67376119613
Denmark,59404.26632,784.44125470626
Denmark,59404.26632,920.02025970922
Australia,55194.75851,931.77086396024
Australia,55194.75851,1820.11480596058
Netherlands,53554.90075,814.21752708393
Netherlands,53554.90075,1058.0809006703
Greenland,53309.20359,914.9883864636
Greenland,53309.20359,1466.02307803905
Sweden,51648.98928,1009.22706455845
Sweden,51648.98928,837.34719041574
Austria,49885.99474,766.1340258500001
Austria,49885.99474,1058.9374544264
Finland,48358.18078,773.39816933264
Finland,48358.18078,1077.0849089026501
Germany,47656.19974,775.0516701259701
Germany,47656.19974,248.69589083585
Belgium,46716.62275,749.43406902778
Belgium,46716.62275,855.93895155858
San Marino,46630.14431,836.42385188623
San Marino,46630.14431,778.48732370283
Canada,46352.86934,1000.22661975199
Canada,46352.86934,1272.47632257989
United Arab Emirates,45938.60736,656.7204619054099
United Arab Emirates,45938.60736,371.98050938438
Israel,44250.63136,741.80379334675
Israel,44250.63136,1309.2965801091
United Kingdom,43158.74113,723.6669973726599
United Kingdom,43158.74113,839.24734120532
New Zealand,42855.83186,862.80765441123
New Zealand,42855.83186,1258.05392391393
Andorra,41257.81646,854.51984468553
Andorra,41257.81646,836.94627163234
Japan,40415.95676,1273.18606007137
Japan,40415.95676,1243.63199851572
France,40408.28486,767.40121925749
France,40408.28486,1148.23865914562
Guam,39274.94314,588.0053939585399
Guam,39274.94314,801.79708032004
United States Virgin Islands,38633.52989,528.82431269106
United States Virgin Islands,38633.52989,1800.90014574232
Republic of Korea,33826.94433,1243.03636326109
Republic of Korea,33826.94433,776.59201027393
Italy,33812.78872,692.8641285397999
Italy,33812.78872,757.69708142356
Italy Center,33812.78872,712.78803426787
Italy Center,33812.78872,730.52151596935
Italy South,33812.78872,792.9259492884601
Italy Islands,33812.78872,668.8687258461999
Italy Islands,33812.78872,826.85404410393
Italy North-West,33812.78872,701.3756381969799
Italy North-West,33812.78872,732.85394731539
Italy South,33812.78872,663.21950596871
Italy North-East,33812.78872,709.49174057368
Italy North-East,33812.78872,738.92368959546
Bahamas,33640.33699,576.49583382413
Bahamas,33640.33699,2454.7095566325497
Malta,32421.91798,839.64535798003
Malta,32421.91798,801.7308696638199
Puerto Rico,31830.5285,509.01183849931
Puerto Rico,31830.5285,1787.14288648071
Kuwait,31707.87374,743.63891993198
Kuwait,31707.87374,1168.56403905435
Brunei Darussalam,30426.57307,1589.99142821067
Brunei Darussalam,30426.57307,1493.18189701436
Spain,29786.52457,838.23149939723
Spain,29786.52457,1584.24587793447
